 Year,"Less than 9th grade
","Some high school, no completion

",High school completion (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctor's degree,Sex,Measure
1990,17390,20900,26650,31730,,39240,,,,Male,Current Dollar
1995,18350,22190,29510,33880,35200,45270,55220,79670,65340,Male,Current Dollar
2000,20790,25100,34300,40340,41950,56330,68320,99410,80250,Male,Current Dollar
2001,21360,26210,34720,41050,42780,55930,70900,100000,86970,Male,Current Dollar
2002,20920,25900,33210,40850,42860,56080,67280,100000,83310,Male,Current Dollar
2003,21220,26470,35410,41350,42870,56500,70640,100000,87130,Male,Current Dollar
2004,21660,26280,35730,41900,44400,57220,71530,100000,82400,Male,Current Dollar
2005 ,22330,27190,36300,42420,47180,60020,75030,100000,85860,Male,Current Dollar
2006,22710,27650,37030,43830,47070,60910,75430,100000,100000,Male,Current Dollar
2007,23380,29320,37860,44900,49040,62090,76280,100000,92090,Male,Current Dollar
2008,24260,29680,39010,45820,50150,65800,80960,100000,100000,Male,Current Dollar
2009,23950,28020,39480,47100,50300,62440,79340,123240,100740,Male,Current Dollar
2010 ,24450,29440,40060,46430,50280,63740,80960,115300,101220,Male,Current Dollar
2011,25220,30420,40450,47070,50930,66200,83030,119470,100770,Male,Current Dollar
2012,25130,30330,40350,47190,50960,66150,85120,116350,106470,Male,Current Dollar
2013,26160,30570,40290,47650,51000,67240,86310,126730,105280,Male,Current Dollar
2014,26580,30840,40930,46900,51110,68160,84760,121750,100710,Male,Current Dollar
2015 ,27160,32140,41570,49670,52070,71390,86740,131190,102340,Male,Current Dollar
2016,30350,32490,41890,49240,52120,71630,88430,117550,120430,Male,Current Dollar
2017,31000,34620,42440,50850,54700,71990,91600,127230,118450,Male,Current Dollar
2018,31800,35600,45580,51690,56720,75150,99620,135440,115790,Male,Current Dollar
2019,32140,37150,46850,53810,58800,77090,100560,150100,128650,Male,Current Dollar
1990,12250,14430,18320,22230,,28020,, ,,Female,Current Dollar
1995,13580,15830,20460,24000,27310,32050,40260,50000,48140,Female,Current Dollar
2000,15800,17920,24970,28700,31070,40420,50140,58960,57080,Female,Current Dollar
2001,16690,19160,25300,30420,32150,40990,50670,61750,62120,Female,Current Dollar
2002,16510,19310,25180,29400,31630,40850,48890,57020,65720,Female,Current Dollar
2003,16910,18940,26070,30140,32250,41330,50160,66490,67210,Female,Current Dollar
2004,17020,19160,26030,30820,33480,41680,51320,75040,68880,Female,Current Dollar
2005 ,16140,20130,26290,31400,33940,42170,51410,80460,66850,Female,Current Dollar
2006,18130,20130,26740,31950,35160,45410,52440,76240,70520,Female,Current Dollar
2007,18260,20400,27240,32840,36330,45770,55430,71100,68990,Female,Current Dollar
2008,18630,20410,28380,32630,36760,47030,57510,71300,74030,Female,Current Dollar
2009,18480,21230,29150,34090,37270,46830,61070,83910,76580,Female,Current Dollar
2010 ,18240,20880,29860,33400,37770,47440,59100,76740,77390,Female,Current Dollar
2011,20100,21110,30010,34590,39290,49110,60300,80720,77460,Female,Current Dollar
2012,20060,21390,30410,35060,37320,50170,60930,94470,77900,Female,Current Dollar
2013,19840,22250,30800,35240,37700,50750,61280,85400,75090,Female,Current Dollar
2014,20990,21990,30650,34380,37480,51350,60830,91810,80540,Female,Current Dollar
