year,sex,money_measure,education,avg_income,color,idtf,error
1990,Male,Current Dollars,Less than 9th grade,17390,darkred,Male Less than 9th grade,(---)
1995,Male,Current Dollars,Less than 9th grade,18350,darkred,Male Less than 9th grade,(545)
2000,Male,Current Dollars,Less than 9th grade,20790,darkred,Male Less than 9th grade,(376)
2001,Male,Current Dollars,Less than 9th grade,21360,darkred,Male Less than 9th grade,(235)
2002,Male,Current Dollars,Less than 9th grade,20920,darkred,Male Less than 9th grade,(213)
2003,Male,Current Dollars,Less than 9th grade,21220,darkred,Male Less than 9th grade,(227)
2004,Male,Current Dollars,Less than 9th grade,21660,darkred,Male Less than 9th grade,(191)
2005,Male,Current Dollars,Less than 9th grade,22330,darkred,Male Less than 9th grade,(220)
2006,Male,Current Dollars,Less than 9th grade,22710,darkred,Male Less than 9th grade,(398)
2007,Male,Current Dollars,Less than 9th grade,23380,darkred,Male Less than 9th grade,(544)
2008,Male,Current Dollars,Less than 9th grade,24260,darkred,Male Less than 9th grade,(631)
2009,Male,Current Dollars,Less than 9th grade,23950,darkred,Male Less than 9th grade,(394)
2010,Male,Current Dollars,Less than 9th grade,24450,darkred,Male Less than 9th grade,(597)
2011,Male,Current Dollars,Less than 9th grade,25220,darkred,Male Less than 9th grade,(23)
2012,Male,Current Dollars,Less than 9th grade,25130,darkred,Male Less than 9th grade,(440)
2013,Male,Current Dollars,Less than 9th grade,26160,darkred,Male Less than 9th grade,(531)
2014,Male,Current Dollars,Less than 9th grade,26580,darkred,Male Less than 9th grade,(382)
2015,Male,Current Dollars,Less than 9th grade,27160,darkred,Male Less than 9th grade,(460)
2016,Male,Current Dollars,Less than 9th grade,30350,darkred,Male Less than 9th grade,(500)
2017,Male,Current Dollars,Less than 9th grade,31000,darkred,Male Less than 9th grade,(369)
2018,Male,Current Dollars,Less than 9th grade,31800,darkred,Male Less than 9th grade,(420)
2019,Male,Current Dollars,Less than 9th grade,32140,darkred,Male Less than 9th grade,(531)
1990,Female,Current Dollars,Less than 9th grade,12250,steelblue,Female Less than 9th grade,(---)
1995,Female,Current Dollars,Less than 9th grade,13580,steelblue,Female Less than 9th grade,(490)
